通番	文番号	単語	標準ペルシア語１	意味１	標準ペルシア語２	意味２	標準ペルシア語3	意味３	標準ペルシア語４	意味４
3834	4041	خونه اش	خانه	家	او	あれ、それ				
4935	2035	خودش	خود	自身	او	あれ、それ				
3163	2050	خودش	خود	自身	او	あれ、それ				
5001	2050	خودش	خود	自身	او	あれ、それ				
3303	2063	خودش	خود	自身	او	あれ、それ				
1295	4007	خودش	خود	自身	او	あれ、それ				
1325	4013	خودش	خود	自身	او	あれ、それ				
272	1033	دامادش	داماد	新郎	او	三人称単数人称代名詞（彼、彼女）				
4631	1005	دخترش	دختر	娘	او	三人称単数人称代名詞（彼、彼女）				
4680	1028	دخترش	دختر	娘	او	三人称単数人称代名詞（彼、彼女）				
2589	1029	دخترش	دختر	娘	او	三人称単数人称代名詞（彼、彼女）				
2595	1030	دخترش	دختر	娘	او	三人称単数人称代名詞（彼、彼女）				
2665	1034	درش	در	戸	او	あれ、それ				
3223	2057	درش	در	戸	او	あれ、それ				
3464	3029	درش	در	戸	او	あれ、それ				
3931	5026	درش میارم	درآوردن	取り出す	او	あれ、それ				
1844	5062	بدریمش	دریدن	引裂く	او	あれ、それ				
5891	2016	دستاش	دست	手	او	あれ、それ				
2909	2016	دستشو	دست	手	او	あれ、それ				
808	2054	دلش	دل	心臓	او	あれ、それ				
991	3007	دمش	دم	尾	او	あれ、それ				
5716	9021	دمش	دم	尾	او	あれ、それ				
1208	3041	دندونش	دندان	歯	او	あれ、それ				
6119	7005	دورش	دور	遠い	او	あれ、それ				
4650	1015	راش	راه	道	او	三人称単数人称代名詞（彼、彼女）				
4639	1007	راهش	راه	道	او	三人称単数人称代名詞（彼、彼女）				
4833	2010	رفتنش	رفتن	行く	او	あれ、それ				
3854	5003	رهاش	رها	解き放たれた	او	あれ、それ				
3888	5014	رهاش	رها	解き放たれた	او	あれ、それ				
3915	5023	رهاش	رها	解き放たれた	او	あれ、それ				
5591	7005	بزنش	زدن	打つ	او	あれ、それ				
3167	2051	زندگیشم	زندگی	生	او	あれ、それ				
2443	1005	سرش	سر	頭	او	あれ、それ				
380	1051	سرش	سر	頭	او	あれ、それ				
5516	5065	سرش	سر	頭	او	あれ、それ				
4209	6016	سرش	سر	頭	او	あれ、それ				
3348	3008	سمش	سم	蹄	او	あれ、それ				
5064	2062	شاخاش	شاخ	角	او	あれ、それ				
5185	3039	شاخش	شاخ	角	او	あれ、それ				
3815	4037	شاخش	شاخ	角	او	あれ、それ				
4453	9019	شرطش	شرط	条件	او	あれ、それ				
3516	3039	شکمش	شکم	腹	او	あれ、それ				
3822	4037	شکمش	شکم	腹	او	あれ、それ				
5068	2062	شیکمش	شکم	腹	او	あれ、それ				
2669	1035	قلش	غل	ころがること	او	あれ、それ				
2688	1040	قلش	غل	ころがること	او	あれ、それ				
2708	1045	قلش	غل	ころがること	او	あれ、それ				
3610	4011	قصه اش	قصه	物語	او	あれ、それ				
4420	9013	کله اش	کله	頭	او	あれ、それ				
5714	9021	کله اش	کله	頭	او	あれ、それ				
3225	2057	کولشو	کول	肩	او	あれ、それ				
2077	8007	گرسنش	گرسنه	空腹の	او	あれ、それ				
336	1042	گفتش	گفتن	言う	او	あれ、それ				
359	1047	گفتش	گفتن	言う	او	あれ、それ				
657	2031	گفتش	گفتن	言う	او	あれ、それ				
727	2042	گفتش	گفتن	言う	او	あれ、それ				
1676	5031	گفتش	گفتن	言う	او	あれ、それ				
1821	5058	گفتش	گفتن	言う	او	あれ、それ				
132	1015	گفتش	گفتن	言う	او	三人称単数人称代名詞（彼、彼女）				
144	1019	گفتش	گفتن	言う	او	三人称単数人称代名詞（彼、彼女）				
151	1021	گفتش	گفتن	言う	او	三人称単数人称代名詞（彼、彼女）				
3565	4002	مامانش	مامان	ママ	او	あれ、それ				
1356	4017	مامانش	مامان	ママ	او	あれ、それ				
3642	4018	مامانش	مامان	ママ	او	あれ、それ				
2744	1053	میونش	میان	・・・の間に	او	あれ、それ				
208	1029	نوه هاش	نوه	孫	او	三人称単数人称代名詞（彼、彼女）				
2613	1030	نوه هاشو	نوه	孫	او	三人称単数人称代名詞（彼、彼女）				
5080	3004	بچه هاش	ها	名詞複数形語尾	او	あれ、それ				
5436	5040	همسرش	همسر	配偶者	او	あれ、それ				
437	2003	یکیش	یکی	一つ	او	あれ、それ				
5268	4020	پشتبوم	پشت	・・・の後ろに	بام	屋根				
5302	4025	پشتبوم	پشت	・・・の後ろに	بام	屋根				
3047	2036	پشتبون	پشت	・・・の後ろに	بام	屋根				
3055	2036	پشتبون	پشت	・・・の後ろに	بام	屋根				
3697	4023	بزبزا	بز	山羊	بز	山羊				
3748	4028	بزبزا	بز	山羊	بز	山羊				
4404	9010	آخریه	آخر	終り	بودن	・・・である				
3275	2062	اینه	این	この	بودن	・・・である				
4027	5049	اینه	این	この	بودن	・・・である				
4454	9019	اینه	این	この	بودن	・・・である				
3390	3014	اینجایم	اینجا	ここ（に）	بودن	・・・である				
3375	3011	باره	باز	開いた	بودن	・・・である				
2963	2023	بازه	باز	開いた	بودن	・・・である				
5617	8003	تله ایه	تله	わな	بودن	・・・である				
4819	2006	تونم	تو	お前	بودن	・・・である				
4825	2007	تونم	تو	お前	بودن	・・・である				
3342	3005	تونم	تو	お前	بودن	・・・である				
5655	9002	جنگله	جنگل	森	بودن	・・・である				
5657	9002	جنگله	جنگل	森	بودن	・・・である				
3877	5010	جوریه	جور	種類	بودن	・・・である				
3903	5019	چیه	چه	なに	بودن	・・・である				
3925	5025	چیه	چه	なに	بودن	・・・である				
2846	2008	حنائیه	حنایی	あずき色の	بودن	・・・である				
4861	2015	حنائیه	حنایی	あずき色の	بودن	・・・である				
2930	2019	حنائیه	حنایی	あずき色の	بودن	・・・である				
5900	2021	حنائیه	حنایی	あずき色の	بودن	・・・である				
4925	2031	حنائیه	حنایی	あずき色の	بودن	・・・である				
3947	5031	حیفه	حیف	不正	بودن	・・・である				
3595	4005	سفیده	سفید	白い	بودن	・・・である				
3609	4010	سیاست	سیاه	黒い	بودن	・・・である				
5728	9024	قرمزه	قرمز	赤い	بودن	・・・である				
3940	5030	قویه	قوی	強い	بودن	・・・である				
3058	2037	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3059	2037	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3102	2044	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3103	2044	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3339	3005	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3404	3018	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3681	4022	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3682	4022	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3732	4027	کیه	کی	که（だれ）の口語形	بودن	・・・である				
3733	4027	کیه	کی	که（だれ）の口語形	بودن	・・・である				
174	1024	گرسنمه	گرسنه	空腹の	بودن	・・・である				
4325	8009	گوشته	گوشت	肉	بودن	・・・である				
5776	10014	مکاریست	مکاری	狡猾	بودن	・・・である				
716	2040	منم	من	私	بودن	・・・である				
3064	2040	منم	من	私	بودن	・・・である				
3065	2040	منم	من	私	بودن	・・・である				
3110	2046	منم	من	私	بودن	・・・である				
3111	2046	منم	من	私	بودن	・・・である				
3410	3020	منم	من	私	بودن	・・・である				
1054	3021	منم	من	私	بودن	・・・である				
3695	4023	منم	من	私	بودن	・・・である				
3696	4023	منم	من	私	بودن	・・・である				
3746	4028	منم	من	私	بودن	・・・である				
3747	4028	منم	من	私	بودن	・・・である				
5553	6008	منی	من	私	بودن	・・・である				
3493	3034	ازت	از	（場所）・・・から	تو	お前				
1686	5032	برات	برای	・・・のために	تو	お前				
2933	2020	پات	پا	足	تو	お前				
5142	3023	جنگت	جنگ	戦争	تو	お前				
2522	1018	بخورمت	خوردن	食べる	تو	お前				
4708	1031	بخوریمت	خوردن	食べる	تو	お前				
1918	6007	میخورمت	خوردن	食べる	تو	お前				
4183	6011	میخورمت	خوردن	食べる	تو	お前				
5379	5012	درت میاره	درآوردن	取り出す	تو	お前				
6150	9019	سرت	سر	頭	تو	お前				
4199	6014	کارت	کار	仕事	تو	お前				
3424	3023	منگولت	منگول	マングール	تو	お前				
4153	6005	یالات	یال	たてがみ	تو	お前				
646	2029	همینجور	همین	まさしくこの	جور	種類				
4787	1055	یخاله	یک	1	خاله	母方のおば				
2771	1055	واونارو	آنها	彼ら	را	・・・を				
2774	1055	اینو	این	この	را	・・・を				
3528	3042	اینو	این	この	را	・・・を				
3611	4011	اینو	این	この	را	・・・を				
4304	8004	اینو	این	この	را	・・・を				
2123	8014	اینو	این	この	را	・・・を				
5712	9021	اینو	این	この	را	・・・を				
179	1025	تو رو	تو	お前	را	・・・を				
3817	4037	گرگو	گرگ	狼	را	・・・を				
4302	8004	گوشتو	گوشت	肉	را	・・・を				
6124	8005	گوشتو	گوشت	肉	را	・・・を				
2102	8011	گوشتو	گوشت	肉	را	・・・を				
159	1022	مسافتی رو	مسافت	距離	را	・・・を				
1565	5009	مرا	من	私	را	・・・を				
2536	1020	منو	من	私	را	・・・を				
2574	1027	منو	من	私	را	・・・を				
3061	2039	منو	من	私	را	・・・を				
3107	2045	منو	من	私	را	・・・を				
5150	3025	منو	من	私	را	・・・を				
5161	3031	منو	من	私	را	・・・を				
4097	5064	منو	من	私	را	・・・を				
4162	6005	منو	من	私	را	・・・を				
4393	9007	منو	من	私	را	・・・を				
6156	9020	منو	من	私	را	・・・を				
3301	2063	منگولو	منگول	マングール	را	・・・を				
5051	2061	اونروز	آن	あれ	روز	日				
5089	3004	بخرتون	خوردن	食べる	شما	あなた				
3548	3045	میخورتون	خوردن	食べる	شما	あなた				
624	2027	مامانتون	مامان	ママ	شما	あなた				
627	2027	مامانتون	مامان	ママ	شما	あなた				
352	1046	همانطور	همان	まさにその	طور	方法				
887	2062	هرکاری	هر	おのおのの	کار	仕事				
892	2062	هرکاری	هر	おのおのの	کار	仕事				
1037	3017	بناءکرد	بناء	開始	کردن	（あることを）する				
1746	5044	فرارکنه	فرار	逃亡	کردن	（あることを）する				
5505	5064	کارکنم	کار	仕事	کردن	（あることを）する				
98	1011	وقتیکه	وقت	時間	که	・・・であるということ				
2530	1020	وقتیکه	وقت	時間	که	・・・であるということ				
2561	1027	وقتیکه	وقت	時間	که	・・・であるということ				
2811	2005	وقتیکه	وقت	時間	که	・・・であるということ				
3571	4003	وقتیکه	وقت	時間	که	・・・であるということ				
5213	4003	وقتیکه	وقت	時間	که	・・・であるということ				
2971	2024	واگذاشتن	باز	開いた	گذاشتن	置く				
5758	10005	خودمون	خود	自身	ما	私たち				
3971	5036	برام	برای	・・・のために	من	私				
5437	5040	برام	برای	・・・のために	من	私				
4662	1020	چله ام	چله	40日間	من	私				
643	2028	حبه انگورم	حبهانگور	ヘッベ・アングール	من	私				
1278	4003	خدم	خود	自身	من	私				
2474	1011	دخترم	دختر	娘	من	私				
2515	1017	دخترم	دختر	娘	من	私				
4655	1019	دخترم	دختر	娘	من	私				
2558	1027	دخترم	دختر	娘	من	私				
3437	3025	دلم	دل	心臓	من	私				
3469	3031	دلم	دل	心臓	من	私				
4228	6018	دلم	دل	心	من	私				
4346	8011	روزم	روزه	断食	من	私				
3070	2040	سمم	سم	蹄	من	私				
3068	2040	شاخم	شاخ	角	من	私				
5041	2059	طرفم	طرف	側	من	私				
4103	5065	همسرم	همسر	配偶者	من	私				
5824	1032	اینا	این	この	ها	名詞複数形語尾				
998	3009	اینا	این	この	ها	名詞複数形語尾				
5669	9008	اینا	این	この	ها	名詞複数形語尾				
4423	9014	اینا	این	この	ها	名詞複数形語尾				
4943	2039	بچه های	بچه	子供	ها	名詞複数形語尾				
4968	2045	بچه های	بچه	子供	ها	名詞複数形語尾				
5980	3019	بچه های	بچه	子供	ها	名詞複数形語尾				
1164	3037	بزا	بز	山羊	ها	名詞複数形語尾				
5178	3035	دندونای	دندان	歯	ها	名詞複数形語尾				
5734	10002	روز ها	روز	日	ها	名詞複数形語尾				
4807	2005	روزا	روز	日	ها	名詞複数形語尾				
4023	5049	شیرا	شیر	獅子	ها	名詞複数形語尾				
1789	5051	شیرا	شیر	獅子	ها	名詞複数形語尾				
5467	5053	شیرا	شیر	獅子	ها	名詞複数形語尾				
5497	5063	شیرا	شیر	獅子	ها	名詞複数形語尾				
1171	3037	گرگا	گرگ	狼	ها	名詞複数形語尾				
5048	2060	ناخنای	ناخن	爪	ها	名詞複数形語尾				
5946	2056	همبونه ها	همبونه	革袋	ها	名詞複数形語尾				
1305	4009	بازم	باز	再び	هم	・・もまた				
2970	2024	بازم	باز	開いた	هم	・・もまた				
593	2022	حبه انگورم	حبهانگور	ヘッベ・アングール	هم	・・もまた				
3965	5034	رام	را	・・・を	هم	・・もまた				
3093	2042	فردام	فردا	明日	هم	・・もまた				
3139	2049	فردام	فردا	明日	هم	・・もまた				
3425	3023	فردام	فردا	明日	هم	・・もまた				
1168	3037	گرگم	گرگ	狼	هم	・・もまた				
2074	8007	گرگم	گرگ	狼	هم	・・もまた				
4496	9026	مام	من	私	هم	・・もまた				
3034	2035	منم	من	私	هم	・・もまた				
5022	2057	نخودام	نخود	えんどう	هم	・・もまた				
5016	2056	ورم	ور	方向	هم	・・もまた				
1464	4035	میانو	آمدن	来る	و	そして				
1465	4035	میرنو	رفتن	行く	و	そして				
4738	1041	زنون	زدن	打つ	و	そして				
4753	1046	زنون	زدن	打つ	و	そして				
872	2061	نشستنو	نشستن	座る	و	そして				
4672	1023	گشنگی	گرسنگی	空腹						
5635	8010	ورداره	برداشتن	持ち上げる						
2103	8011	ورداشت	برداشتن	持ち上げる						
920	2063	ورداشتن	برداشتن	持ち上げる						
2035	7008	ورمیداره	برداشتن	持ち上げる						
5291	4024	الله	الله	〈宗〉アッラー						
5295	4024	الله	الله	〈宗〉アッラー						
5299	4024	الله	الله	〈宗〉アッラー						
5325	4029	الله	الله	〈宗〉アッラー						
5329	4029	الله	الله	〈宗〉アッラー						
5333	4029	الله	الله	〈宗〉アッラー						
535	2014	ا	ا	呼びかけを表わす接尾辞						
3531	3043	آب	آب	水						
3533	3043	آب	آب	水						
3780	4031	آب	آب	水						
3783	4032	آب	آب	水						
3786	4033	آب	آب	水						
5339	4034	آب	آب	水						
5336	4033	آب های	آب	水						
5438	5040	آبجوش	آبجوش	煮え湯						
5441	5041	آبجوش	آبجوش	煮え湯						
1729	5042	آبجوش	آبجوش	煮え湯						
4004	5045	آبجوش	آبجوش	煮え湯						
4104	5065	آبجوش	آبجوش	煮え湯						
4108	5065	آبجوش	آبجوش	煮え湯						
5509	5065	آبجوش	آبجوش	煮え湯						
4513	10002	اتفاق	اتفاق	一致						
6101	6015	اثری	اثر	跡						
4219	6016	اثری	اثر	跡						
5566	6016	اثری	اثر	跡						
5570	6017	اثری	اثر	跡						
2033	7008	آخر	آخر	終り						
3459	3028	ادبی	ادبی	文学の						
3479	3033	ادبی	ادبی	文学の						
5535	6002	آدم	آدم	アダム						
4581	10014	آرام	آرام	静かな						
5897	2021	اره	آره	はい						
3173	2051	اره	آره	はい						
3149	2050	ا	از	（場所）・・・から						
5125	3014	ا	از	（場所）・・・から						
6072	5049	ا	از	（場所）・・・から						
4196	6014	ا	از	（場所）・・・から						
6237	6015	ا	از	（場所）・・・から						
6103	6016	ا	از	（場所）・・・から						
6107	6017	ا	از	（場所）・・・から						
4610	1001	از	از	（場所）・・・から						
4634	1006	از	از	（場所）・・・から						
4671	1023	از	از	（場所）・・・から						
2602	1030	از	از	（場所）・・・から						
2606	1030	از	از	（場所）・・・から						
2737	1052	از	از	（場所）・・・から						
2743	1053	از	از	（場所）・・・から						
4773	1055	از	از	（場所）・・・から						
4785	1055	از	از	（場所）・・・から						
2786	1056	از	از	（場所）・・・から						
4795	2001	از	از	（場所）・・・から						
4802	2004	از	از	（場所）・・・から						
4806	2005	از	از	（場所）・・・から						
4832	2010	از	از	（場所）・・・から						
2870	2011	از	از	（場所）・・・から						
2919	2017	از	از	（場所）・・・から						
5903	2023	از	از	（場所）・・・から						
2981	2027	از	از	（場所）・・・から						
6194	2027	از	از	（場所）・・・から						
5925	2031	از	از	（場所）・・・から						
4944	2039	از	از	（場所）・・・から						
4969	2045	از	از	（場所）・・・から						
4998	2050	از	از	（場所）・・・から						
3183	2052	از	از	（場所）・・・から						
3206	2056	از	از	（場所）・・・から						
5019	2056	از	از	（場所）・・・から						
3221	2057	از	از	（場所）・・・から						
3241	2059	از	از	（場所）・・・から						
3245	2059	از	از	（場所）・・・から						
3247	2059	از	از	（場所）・・・から						
3295	2062	از	از	（場所）・・・から						
3372	3011	از	از	（場所）・・・から						
3724	4025	از	از	（場所）・・・から						
3821	4037	از	از	（場所）・・・から						
3840	5001	از	از	（場所）・・・から						
5351	5002	از	از	（場所）・・・から						
5363	5007	از	از	（場所）・・・から						
3869	5008	از	از	（場所）・・・から						
6043	5012	از	از	（場所）・・・から						
5392	5018	از	از	（場所）・・・から						
5409	5026	از	از	（場所）・・・から						
5419	5030	از	از	（場所）・・・から						
3994	5042	از	از	（場所）・・・から						
4002	5044	از	از	（場所）・・・から						
5452	5048	از	از	（場所）・・・から						
5454	5048	از	از	（場所）・・・から						
4043	5054	از	از	（場所）・・・から						
5519	5065	از	از	（場所）・・・から						
5523	5067	از	از	（場所）・・・から						
5525	5067	از	از	（場所）・・・から						
5568	6016	از	از	（場所）・・・から						
4291	8002	از	از	（場所）・・・から						
4317	8009	از	از	（場所）・・・から						
5650	9001	از	از	（場所）・・・から						
6129	9004	از	از	（場所）・・・から						
5668	9008	از	از	（場所）・・・から						
5672	9009	از	از	（場所）・・・から						
5674	9010	از	از	（場所）・・・から						
4419	9013	از	از	（場所）・・・から						
5713	9021	از	از	（場所）・・・から						
5721	9022	از	از	（場所）・・・から						
4487	9023	از	از	（場所）・・・から						
5733	10002	از	از	（場所）・・・から						
5745	10004	از	از	（場所）・・・から						
4535	10005	از	از	（場所）・・・から						
4602	10019	از	از	（場所）・・・から						
4606	10021	از	از	（場所）・・・から						
1630	5022	ازش	از	（場所）・・・から名詞_او						
4548	10007	آسونی	آسان	容易な						
5391	5016	اسب	اسب	馬						
1609	5017	اسب	اسب	馬						
1623	5021	اسب	اسب	馬						
6140	9014	استانی	آستان	敷居						
4436	9014	استاندار	استاندار	州知事						
5690	9015	استاندار	استاندار	州知事						
5725	9022	استاندار	استاندار	州知事						
6054	5033	استراحت	استراحت	休憩						
3186	2052	استفاده	استفاده	利用						
3911	5022	استفاده	استفاده	利用						
3958	5032	استفاده	استفاده	利用						
5508	5065	اسم	اسم	名前						
4233	7002	اسم	اسم	名前						
4942	2039	آش	آش	イラン風スープ						
4967	2045	آش	آش	イラン風スープ						
5133	3019	آش	آش	イラン風スープ						
6013	4022	آش	آش	イラン風スープ						
6023	4027	آش	آش	イラン風スープ						
4159	6005	اصلاً	اصلا	元来						
3359	3010	افتاد	افتادن	落ちる						
2447	1005	افتاد	افتادن	落ちる						
4337	8010	افتاد	افتادن	落ちる						
4667	1022	آقا	آقا	紳士						
2544	1023	آقا	آقا	紳士						
4731	1035	آقا	آقا	紳士						
2677	1036	آقا	آقا	紳士						
4746	1041	آقا	آقا	紳士						
2694	1042	آقا	آقا	紳士						
4761	1046	آقا	آقا	紳士						
2823	2006	آقا	آقا	紳士						
2855	2010	آقا	آقا	紳士						
2902	2016	آقا	آقا	紳士						
2943	2022	آقا	آقا	紳士						
4922	2031	آقا	آقا	紳士						
3044	2036	آقا	آقا	紳士						
3048	2036	آقا	آقا	紳士						
3056	2037	آقا	آقا	紳士						
3181	2052	آقا	آقا	紳士						
3208	2056	آقا	آقا	紳士						
5042	2059	آقا	آقا	紳士						
6213	2059	آقا	آقا	紳士						
6215	2059	آقا	آقا	紳士						
3270	2062	آقا	آقا	紳士						
3288	2062	آقا	آقا	紳士						
5065	2062	آقا	آقا	紳士						
5002	2051	آقای	آقا	紳士						
3191	2054	آقای	آقا	紳士						
3674	4020	آقاجان	آقاجان	おとうちゃん						
4531	10004	اقدام	اقدام	措置						
2829	2006	اگر	اگر	もしも・・・ならば						
4822	2007	اگر	اگر	もしも・・・ならば						
3542	3045	اگر	اگر	もしも・・・ならば						
5375	5012	اگر	اگر	もしも・・・ならば						
3926	5026	اگر	اگر	もしも・・・ならば						
4438	9015	اگه	اگر	もしも・・・ならば						
5864	1055	الاغ	الاغ	ろば						
1526	5001	الاغی	الاغ	ろば						
268	1032	الان	الان	ちょうど今						
5998	3040	الان	الان	ちょうど今						
4096	5064	الان	الان	ちょうど今						
407	1055	البته	البته	もちろん						
1311	4011	البته	البته	もちろん						
1384	4020	البته	البته	もちろん						
267	1032	اما	اما	しかし						
3160	2050	آماده	آماده	用意のできた						
873	2061	آماده	آماده	用意のできた						
1529	5001	آمد	آمدن	来る						
109	1014	اومد	آمدن	来る						
111	1014	اومد	آمدن	来る						
113	1014	اومد	آمدن	来る						
154	1022	اومد	آمدن	来る						
156	1022	اومد	آمدن	来る						
167	1023	اومد	آمدن	来る						
195	1028	اومد	آمدن	来る						
197	1028	اومد	آمدن	来る						
199	1028	اومد	آمدن	来る						
301	1035	اومد	آمدن	来る						
303	1035	اومد	آمدن	来る						
305	1035	اومد	آمدن	来る						
307	1035	اومد	آمدن	来る						
4739	1041	اومد	آمدن	来る						
4741	1041	اومد	آمدن	来る						
4743	1041	اومد	آمدن	来る						
4745	1041	اومد	آمدن	来る						
4754	1046	اومد	آمدن	来る						
4756	1046	اومد	آمدن	来る						
4758	1046	اومد	آمدن	来る						
4760	1046	اومد	آمدن	来る						
391	1053	اومد	آمدن	来る						
2831	2006	اومد	آمدن	来る						
505	2010	اومد	آمدن	来る						
549	2016	اومد	آمدن	来る						
2916	2016	اومد	آمدن	来る						
564	2017	اومد	آمدن	来る						
604	2023	اومد	آمدن	来る						
612	2025	اومد	آمدن	来る						
3004	2031	اومد	آمدن	来る						
670	2033	اومد	آمدن	来る						
3036	2035	اومد	آمدن	来る						
685	2036	اومد	آمدن	来る						
761	2050	اومد	آمدن	来る						
821	2056	اومد	آمدن	来る						
3236	2058	اومد	آمدن	来る						
884	2062	اومد	آمدن	来る						
901	2062	اومد	آمدن	来る						
5060	2062	اومد	آمدن	来る						
977	3005	اومد	آمدن	来る						
5117	3011	اومد	آمدن	来る						
1014	3012	اومد	آمدن	来る						
3383	3013	اومد	آمدن	来る						
3396	3016	اومد	آمدن	来る						
1073	3024	اومد	آمدن	来る						
1122	3030	اومد	آمدن	来る						
1162	3037	اومد	آمدن	来る						
1169	3037	اومد	آمدن	来る						
1187	3039	اومد	آمدن	来る						
1232	3043	اومد	آمدن	来る						
1235	3044	اومد	آمدن	来る						
5587	7005	اومد	آمدن	来る						
5597	7005	اومد	آمدن	来る						
2064	8005	اومد	آمدن	来る						
2084	8009	اومد	آمدن	来る						
2100	8011	اومد	آمدن	来る						
2141	9004	اومد	آمدن	来る						
2149	9005	اومد	آمدن	来る						
2174	9009	اومد	آمدن	来る						
2181	9010	اومد	آمدن	来る						
2192	9011	اومد	آمدن	来る						
2227	9017	اومد	آمدن	来る						
5705	9020	اومد	آمدن	来る						
3866	5007	اومدم	آمدن	来る						
209	1029	اومدن	آمدن	来る						
870	2061	اومدن	آمدن	来る						
913	2062	اومدن	آمدن	来る						
1795	5052	اومدن	آمدن	来る						
4042	5053	اومدن	آمدن	来る						
401	1054	اومدند	آمدن	来る						
524	2012	اومدند	آمدن	来る						
1172	3037	اومدند	آمدن	来る						
478	2006	اومده	آمدن	来る						
520	2011	اومده	آمدن	来る						
